t1,s1,c1,tp,fp,tn,fn,precision,recall
0.09000000000000001,8,0.0575,0,71,0,0,0.0,
0.09000000000000001,8,0.105,0,71,0,0,0.0,
0.09000000000000001,8,0.15250000000000002,0,71,0,0,0.0,
0.09000000000000001,8,0.2,0,71,0,0,0.0,
0.09000000000000001,9,0.01,0,71,0,0,0.0,
0.09000000000000001,9,0.0575,0,71,0,0,0.0,
0.09000000000000001,9,0.105,0,71,0,0,0.0,
0.09000000000000001,9,0.15250000000000002,0,71,0,0,0.0,
0.09000000000000001,9,0.2,0,71,0,0,0.0,
0.09000000000000001,10,0.01,0,71,0,0,0.0,
0.09000000000000001,10,0.0575,0,71,0,0,0.0,
0.09000000000000001,10,0.105,0,71,0,0,0.0,
0.09000000000000001,10,0.15250000000000002,0,71,0,0,0.0,
0.09000000000000001,10,0.2,0,71,0,0,0.0,
0.1,1,0.01,0,71,0,0,0.0,
0.1,1,0.0575,0,71,0,0,0.0,
0.1,1,0.105,0,71,0,0,0.0,
0.1,1,0.15250000000000002,0,71,0,0,0.0,
0.1,1,0.2,0,71,0,0,0.0,
0.1,2,0.01,0,71,0,0,0.0,
0.1,2,0.0575,0,71,0,0,0.0,
0.1,2,0.105,0,71,0,0,0.0,
0.1,2,0.15250000000000002,0,71,0,0,0.0,
0.1,2,0.2,0,71,0,0,0.0,
0.1,3,0.01,0,71,0,0,0.0,
0.1,3,0.0575,0,71,0,0,0.0,
0.1,3,0.105,0,71,0,0,0.0,
0.1,3,0.15250000000000002,0,71,0,0,0.0,
0.1,3,0.2,0,71,0,0,0.0,
0.1,4,0.01,0,71,0,0,0.0,
0.1,4,0.0575,0,71,0,0,0.0,
0.1,4,0.105,0,71,0,0,0.0,
0.1,4,0.15250000000000002,0,71,0,0,0.0,
0.1,4,0.2,0,71,0,0,0.0,
0.1,5,0.01,0,71,0,0,0.0,
0.1,5,0.0575,0,71,0,0,0.0,
0.1,5,0.105,0,71,0,0,0.0,
0.1,5,0.15250000000000002,0,71,0,0,0.0,
0.1,5,0.2,0,71,0,0,0.0,
0.1,6,0.01,0,71,0,0,0.0,
0.1,6,0.0575,0,71,0,0,0.0,
0.1,6,0.105,0,71,0,0,0.0,
0.1,6,0.15250000000000002,0,71,0,0,0.0,
0.1,6,0.2,0,71,0,0,0.0,
0.1,7,0.01,0,71,0,0,0.0,
0.1,7,0.0575,0,71,0,0,0.0,
0.1,7,0.105,0,71,0,0,0.0,
0.1,7,0.15250000000000002,0,71,0,0,0.0,
0.1,7,0.2,0,71,0,0,0.0,
0.1,8,0.01,0,71,0,0,0.0,
0.1,8,0.0575,0,71,0,0,0.0,
0.1,8,0.105,0,71,0,0,0.0,
0.1,8,0.15250000000000002,0,71,0,0,0.0,
0.1,8,0.2,0,71,0,0,0.0,
0.1,9,0.01,0,71,0,0,0.0,
0.1,9,0.0575,0,71,0,0,0.0,
0.1,9,0.105,0,71,0,0,0.0,
0.1,9,0.15250000000000002,0,71,0,0,0.0,
0.1,9,0.2,0,71,0,0,0.0,
0.1,10,0.01,0,71,0,0,0.0,
0.1,10,0.0575,0,71,0,0,0.0,
0.1,10,0.105,0,71,0,0,0.0,
0.1,10,0.15250000000000002,0,71,0,0,0.0,
0.1,10,0.2,0,71,0,0,0.0,
