lottery_type,window,combination_size,strategy_ids,ticket_budget_m,rows_per_draw,ticket_budget_ratio_vs_min,ticket_budget_ratio_vs_median,sample_size_rows,cross_strategy_ticket_pair_count,any_number_overlap_pair_rate,mean_number_overlap_fraction,random_pair_overlap_fraction,exact_duplicate_ticket_pair_rate,delta_vs_max_constituent_hit1_rate,delta_vs_max_constituent_hit2_rate,delta_vs_max_constituent_hit3_rate,budget_inflation_flag,high_overlap_vs_random_flag
BIG_LOTTO,recent_750,2,bet2_fourier_expansion_biglotto|ts3_regime_3bet,2,2.000000,2.000000,0.666667,1500,750,1.000000000000,0.964666666667,0.122448979592,0.796000000000,0.008000000000,0.006666666667,0.000000000000,N,Y
BIG_LOTTO,recent_50,2,biglotto_deviation_2bet|biglotto_echo_aware_3bet,4,4.000000,4.000000,1.333333,200,150,0.400000000000,0.133333333333,0.122448979592,0.000000000000,0.000000000000,0.080000000000,0.020000000000,Y,Y
BIG_LOTTO,recent_300,2,biglotto_deviation_2bet|biglotto_echo_aware_3bet,4,4.000000,4.000000,1.333333,1200,900,0.426666666667,0.146481481481,0.122448979592,0.000000000000,0.030000000000,0.110000000000,0.016666666667,Y,Y
BIG_LOTTO,recent_750,2,biglotto_deviation_2bet|biglotto_echo_aware_3bet,4,4.000000,4.000000,1.333333,3000,2250,0.417777777778,0.146000000000,0.122448979592,0.000000000000,0.020000000000,0.092000000000,0.029333333334,Y,Y
BIG_LOTTO,recent_50,2,biglotto_deviation_2bet|biglotto_triple_strike,2,2.000000,2.000000,0.666667,100,50,0.640000000000,0.146666666667,0.122448979592,0.000000000000,0.260000000000,0.040000000000,0.020000000000,N,Y
BIG_LOTTO,recent_300,2,biglotto_deviation_2bet|biglotto_triple_strike,2,2.000000,2.000000,0.666667,600,300,0.600000000000,0.131111111111,0.122448979592,0.000000000000,0.246666666667,0.096666666666,0.016666666666,N,Y
BIG_LOTTO,recent_750,2,biglotto_deviation_2bet|biglotto_triple_strike,2,2.000000,2.000000,0.666667,1500,750,0.601333333333,0.132000000000,0.122448979592,0.000000000000,0.241333333333,0.105333333333,0.021333333333,N,Y
BIG_LOTTO,recent_50,2,biglotto_deviation_2bet|biglotto_ts3_markov_4bet_w30,5,5.000000,5.000000,1.666667,250,200,0.580000000000,0.192500000000,0.122448979592,0.000000000000,0.000000000000,0.000000000000,0.020000000000,Y,Y
BIG_LOTTO,recent_300,2,biglotto_deviation_2bet|biglotto_ts3_markov_4bet_w30,5,5.000000,5.000000,1.666667,1500,1200,0.592500000000,0.200694444444,0.122448979592,0.000000000000,0.000000000000,0.080000000000,0.013333333333,Y,Y
BIG_LOTTO,recent_750,2,biglotto_deviation_2bet|biglotto_ts3_markov_4bet_w30,5,5.000000,5.000000,1.666667,3750,3000,0.596333333333,0.201111111111,0.122448979592,0.000666666667,0.004000000000,0.066666666666,0.024000000000,Y,Y
BIG_LOTTO,recent_50,2,biglotto_deviation_2bet|cold_complement_biglotto,2,2.000000,2.000000,0.666667,100,50,1.000000000000,0.546666666667,0.122448979592,0.020000000000,0.080000000000,0.040000000000,0.000000000000,N,Y
BIG_LOTTO,recent_300,2,biglotto_deviation_2bet|cold_complement_biglotto,2,2.000000,2.000000,0.666667,600,300,1.000000000000,0.541666666667,0.122448979592,0.003333333333,0.133333333334,0.066666666666,0.013333333334,N,Y
BIG_LOTTO,recent_750,2,biglotto_deviation_2bet|cold_complement_biglotto,2,2.000000,2.000000,0.666667,1500,750,0.994666666667,0.527555555556,0.122448979592,0.005333333333,0.157333333333,0.086666666667,0.013333333333,N,Y
BIG_LOTTO,recent_50,2,biglotto_deviation_2bet|coldpool15_biglotto,2,2.000000,2.000000,0.666667,100,50,1.000000000000,0.546666666667,0.122448979592,0.020000000000,0.080000000000,0.040000000000,0.000000000000,N,Y
BIG_LOTTO,recent_300,2,biglotto_deviation_2bet|coldpool15_biglotto,2,2.000000,2.000000,0.666667,600,300,1.000000000000,0.541666666667,0.122448979592,0.003333333333,0.133333333334,0.066666666666,0.013333333334,N,Y
BIG_LOTTO,recent_750,2,biglotto_deviation_2bet|coldpool15_biglotto,2,2.000000,2.000000,0.666667,1500,750,0.994666666667,0.527555555556,0.122448979592,0.005333333333,0.157333333333,0.086666666667,0.013333333333,N,Y
