rank,strategy_id,effective_strategy_id,independent_algorithm_id,equivalence_group,from_ticket_count,to_ticket_count,evaluated_draws,complete_portfolios,incremental_m4plus_hits,incremental_m4plus_rate,incremental_interval_95,random_incremental_m4plus_hits,random_incremental_m4plus_rate,random_incremental_interval_95,incremental_difference_vs_random,incremental_difference_interval_95,paired_p_value
9,history::lottery_api/models/social_wisdom_predictor.py,history::lottery_api/models/social_wisdom_predictor.py@sp20_v1,history::lottery_api/models/social_wisdom_predictor.py,social_wisdom_family,15,20,2025,20250,104,0.005135802469135802,"[0.004148148148,0.006172839506]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",9.876543209876544e-05,"[-0.001283950617,0.001530864198]",0.4723832512815009
10,history::lottery_api/models/zone_split.py,history::lottery_api/models/zone_split.py,history::lottery_api/models/zone_split.py,zone_split_family,15,20,2025,20250,101,0.004987654320987654,"[0.002518518519,0.007753086420]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-4.938271604938291e-05,"[-0.002716049383,0.002864197531]",0.5268920371793924
11,biglotto_ts3_markov_freq_5bet,biglotto_ts3_markov_freq_5bet@sp20_v1,biglotto_ts3_markov_freq_5bet,ts3_markov_freq_aliases,15,20,2025,2025,10,0.0049382716049382715,"[0.002684596342,0.009066671218]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-9.876543209876571e-05,"[-0.003111111111,0.003259259259]",0.5355627943159432
12,cold_complement_biglotto,registry::cold_complement_biglotto@sp20_v1,cold_complement_biglotto,,15,20,2025,2025,10,0.0049382716049382715,"[0.002684596342,0.009066671218]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-9.876543209876571e-05,"[-0.003061728395,0.003358024691]",0.5355627943159432
13,ts3_regime_3bet,registry::ts3_regime_3bet@sp20_v1,ts3_regime_3bet,,15,20,2025,2025,10,0.0049382716049382715,"[0.002684596342,0.009066671218]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-9.87654320987657e-05,"[-0.003111111111,0.003456790123]",0.5358457363617025
14,coldpool15_biglotto,registry::coldpool15_biglotto@sp20_v1,coldpool15_biglotto,,15,20,2025,2025,9,0.0044444444444444444,"[0.002340008962,0.008425474327]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.0005925925925925929,"[-0.003456790123,0.002469135802]",0.6558853362442565
15,predict_biglotto_echo_phase2,predict_biglotto_echo_phase2@sp20_v1,predict_biglotto_echo_phase2,,15,20,2025,2025,9,0.0044444444444444444,"[0.002340008962,0.008425474327]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.0005925925925925929,"[-0.003407407407,0.002469135802]",0.6558853362442566
16,predict_biglotto_regime,predict_biglotto_regime@sp20_v1,predict_biglotto_regime,,15,20,2025,2025,9,0.0044444444444444444,"[0.002340008962,0.008425474327]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.0005925925925925929,"[-0.003456790123,0.002617283951]",0.6558853362442565
17,biglotto_10bet_combined,biglotto_10bet_combined@sp20_v1,biglotto_10bet_combined,,15,20,2025,2025,8,0.003950617283950617,"[0.002003190075,0.007776508942]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.00108641975308642,"[-0.003703703704,0.002172839506]",0.7726103088125692
18,biglotto_5bet_orthogonal,biglotto_5bet_orthogonal@sp20_v1,biglotto_5bet_orthogonal,,15,20,2025,2025,8,0.003950617283950617,"[0.002003190075,0.007776508942]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.00108641975308642,"[-0.003753086420,0.001925925926]",0.7726103088125694
